name,ingredients,meal_type,diet,cooking_time,steps,image_url
Spaghetti Carbonara,"chicken, olive oil, milk, tofu, salt",dinner,none,19,"To prepare Spaghetti Carbonara, start by gathering all the ingredients: chicken, olive oil, milk, tofu, salt. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade spaghetti carbonara!",https://source.unsplash.com/featured/?Spaghetti%20Carbonara
Avocado Toast,"rice, carrot, garlic, butter, chicken",dinner,gluten-free,14,"To prepare Avocado Toast, start by gathering all the ingredients: rice, carrot, garlic, butter, chicken. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade avocado toast!",https://source.unsplash.com/featured/?Avocado%20Toast
Chicken Curry,"chicken, milk, onion, eggs, beef",lunch,vegan,46,"To prepare Chicken Curry, start by gathering all the ingredients: chicken, milk, onion, eggs, beef. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade chicken curry!",https://source.unsplash.com/featured/?Chicken%20Curry
Beef Tacos,"milk, lemon, salt, olive oil, onion",breakfast,none,26,"To prepare Beef Tacos, start by gathering all the ingredients: milk, lemon, salt, olive oil, onion. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade beef tacos!",https://source.unsplash.com/featured/?Beef%20Tacos
Vegan Buddha Bowl,"cheese, milk, eggs, beef, tofu",breakfast,vegan,17,"To prepare Vegan Buddha Bowl, start by gathering all the ingredients: cheese, milk, eggs, beef, tofu. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade vegan buddha bowl!",https://source.unsplash.com/featured/?Vegan%20Buddha%20Bowl
Grilled Cheese Sandwich,"butter, flour, eggs, olive oil, garlic",dinner,gluten-free,37,"To prepare Grilled Cheese Sandwich, start by gathering all the ingredients: butter, flour, eggs, olive oil, garlic. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade grilled cheese sandwich!",https://source.unsplash.com/featured/?Grilled%20Cheese%20Sandwich
Pancakes,"pepper, eggs, olive oil, chicken, onion",dinner,none,13,"To prepare Pancakes, start by gathering all the ingredients: pepper, eggs, olive oil, chicken, onion. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade pancakes!",https://source.unsplash.com/featured/?Pancakes
Tomato Soup,"cheese, eggs, tomato, garlic, flour",dinner,gluten-free,26,"To prepare Tomato Soup, start by gathering all the ingredients: cheese, eggs, tomato, garlic, flour. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade tomato soup!",https://source.unsplash.com/featured/?Tomato%20Soup
Caesar Salad,"eggs, lemon, bell pepper, salt, carrot",dinner,none,54,"To prepare Caesar Salad, start by gathering all the ingredients: eggs, lemon, bell pepper, salt, carrot. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade caesar salad!",https://source.unsplash.com/featured/?Caesar%20Salad
Lemon Garlic Salmon,"olive oil, basil, eggs, chicken, bell pepper",lunch,vegetarian,11,"To prepare Lemon Garlic Salmon, start by gathering all the ingredients: olive oil, basil, eggs, chicken, bell pepper. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade lemon garlic salmon!",https://source.unsplash.com/featured/?Lemon%20Garlic%20Salmon
Vegetable Stir Fry,"bell pepper, lemon, beef, carrot, flour",breakfast,vegetarian,58,"To prepare Vegetable Stir Fry, start by gathering all the ingredients: bell pepper, lemon, beef, carrot, flour. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade vegetable stir fry!",https://source.unsplash.com/featured/?Vegetable%20Stir%20Fry
French Toast,"lemon, olive oil, carrot, tomato, basil",lunch,none,58,"To prepare French Toast, start by gathering all the ingredients: lemon, olive oil, carrot, tomato, basil. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade french toast!",https://source.unsplash.com/featured/?French%20Toast
Mushroom Risotto,"beef, basil, carrot, pepper, tofu",dinner,none,49,"To prepare Mushroom Risotto, start by gathering all the ingredients: beef, basil, carrot, pepper, tofu. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade mushroom risotto!",https://source.unsplash.com/featured/?Mushroom%20Risotto
Egg Fried Rice,"pasta, basil, bell pepper, carrot, olive oil",dinner,vegan,32,"To prepare Egg Fried Rice, start by gathering all the ingredients: pasta, basil, bell pepper, carrot, olive oil. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade egg fried rice!",https://source.unsplash.com/featured/?Egg%20Fried%20Rice
Banana Smoothie,"carrot, basil, lemon, butter, beef",lunch,gluten-free,27,"To prepare Banana Smoothie, start by gathering all the ingredients: carrot, basil, lemon, butter, beef. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade banana smoothie!",https://source.unsplash.com/featured/?Banana%20Smoothie
BBQ Chicken Wings,"pasta, salt, olive oil, eggs, flour",breakfast,none,37,"To prepare BBQ Chicken Wings, start by gathering all the ingredients: pasta, salt, olive oil, eggs, flour. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade bbq chicken wings!",https://source.unsplash.com/featured/?BBQ%20Chicken%20Wings
Beef Stroganoff,"basil, chicken, eggs, garlic, beef",breakfast,gluten-free,36,"To prepare Beef Stroganoff, start by gathering all the ingredients: basil, chicken, eggs, garlic, beef. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade beef stroganoff!",https://source.unsplash.com/featured/?Beef%20Stroganoff
Quinoa Salad,"cheese, milk, bell pepper, olive oil, tomato",breakfast,vegan,24,"To prepare Quinoa Salad, start by gathering all the ingredients: cheese, milk, bell pepper, olive oil, tomato. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade quinoa salad!",https://source.unsplash.com/featured/?Quinoa%20Salad
Shrimp Scampi,"lemon, milk, tofu, butter, carrot",lunch,vegan,17,"To prepare Shrimp Scampi, start by gathering all the ingredients: lemon, milk, tofu, butter, carrot. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade shrimp scampi!",https://source.unsplash.com/featured/?Shrimp%20Scampi
Tofu Teriyaki,"basil, olive oil, butter, lemon, salt",breakfast,none,45,"To prepare Tofu Teriyaki, start by gathering all the ingredients: basil, olive oil, butter, lemon, salt. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade tofu teriyaki!",https://source.unsplash.com/featured/?Tofu%20Teriyaki
Chili Con Carne,"onion, olive oil, bell pepper, milk, chicken",breakfast,vegan,19,"To prepare Chili Con Carne, start by gathering all the ingredients: onion, olive oil, bell pepper, milk, chicken. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade chili con carne!",https://source.unsplash.com/featured/?Chili%20Con%20Carne
Mac and Cheese,"flour, tofu, chicken, milk, rice",breakfast,vegan,48,"To prepare Mac and Cheese, start by gathering all the ingredients: flour, tofu, chicken, milk, rice. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade mac and cheese!",https://source.unsplash.com/featured/?Mac%20and%20Cheese
Greek Salad,"flour, olive oil, beef, tofu, carrot",lunch,vegetarian,32,"To prepare Greek Salad, start by gathering all the ingredients: flour, olive oil, beef, tofu, carrot. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade greek salad!",https://source.unsplash.com/featured/?Greek%20Salad
Butter Chicken,"butter, olive oil, flour, bell pepper, salt",dinner,vegetarian,38,"To prepare Butter Chicken, start by gathering all the ingredients: butter, olive oil, flour, bell pepper, salt. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade butter chicken!",https://source.unsplash.com/featured/?Butter%20Chicken
Zucchini Noodles,"onion, pasta, cheese, chicken, pepper",breakfast,vegetarian,50,"To prepare Zucchini Noodles, start by gathering all the ingredients: onion, pasta, cheese, chicken, pepper. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade zucchini noodles!",https://source.unsplash.com/featured/?Zucchini%20Noodles
Miso Soup,"flour, butter, pepper, rice, salt",lunch,none,52,"To prepare Miso Soup, start by gathering all the ingredients: flour, butter, pepper, rice, salt. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade miso soup!",https://source.unsplash.com/featured/?Miso%20Soup
Lasagna,"lemon, pepper, flour, onion, milk",breakfast,gluten-free,22,"To prepare Lasagna, start by gathering all the ingredients: lemon, pepper, flour, onion, milk. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade lasagna!",https://source.unsplash.com/featured/?Lasagna
Apple Pie,"milk, lemon, salt, tofu, bell pepper",lunch,vegetarian,11,"To prepare Apple Pie, start by gathering all the ingredients: milk, lemon, salt, tofu, bell pepper. Heat a pan over medium heat and add olive oil. Add chopped onions and garlic, sauté until fragrant. Then, add the main ingredient and cook until done. Season with salt, pepper, and other spices. Serve hot and enjoy your homemade apple pie!",https://source.unsplash.com/featured/?Apple%20Pie
